fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,curl,396,9,1,10,10
aflplusplus,curl,397,8,2,10,10
aflplusplus,curl,398,0,10,10,10
aflplusplus,curl,3403,10,0,10,10
aflplusplus,curl,3404,10,0,10,10
aflplusplus,curl,399,3,7,10,10
aflplusplus,curl,400,5,5,10,10
aflplusplus,curl,401,9,1,10,10
aflplusplus,curl,402,3,7,10,10
aflplusplus,curl,403,4,6,10,10
aflplusplus,curl,404,8,2,10,10
aflplusplus,curl,405,10,0,10,10
aflplusplus,curl,406,1,9,10,10
aflplusplus,curl,4172,6,4,10,10
aflplusplus,curl,3411,0,10,10,10
aflplusplus,curl,407,2,8,10,10
aflplusplus,curl,408,1,9,10,10
aflplusplus,curl,1420,3,7,10,10
aflplusplus,curl,4897,3,7,10,10
aflplusplus,curl,409,10,0,10,10
aflplusplus,curl,410,10,0,10,10
aflplusplus,curl,411,10,0,10,10
aflplusplus,curl,412,6,4,10,10
aflplusplus,curl,413,5,5,10,10
aflplusplus,curl,414,6,4,10,10
aflplusplus,curl,415,10,0,10,10
aflplusplus,curl,416,10,0,10,10
aflplusplus,curl,417,10,0,10,10
aflplusplus,curl,418,10,0,10,10
aflplusplus,curl,1432,10,0,10,10
aflplusplus,curl,419,8,2,10,10
aflplusplus,curl,1434,1,7,8,10
aflplusplus,curl,1433,8,0,8,10
aflplusplus,curl,420,8,2,10,10
aflplusplus,curl,421,8,2,10,10
