target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
libpng,naive_ngram4,1,24,3600,86400,5990,120637800.0,0.243235,1469
libpng,naive_ngram4,2,24,3600,86400,5990,119269800.0,0.240477,1475
libpng,naive_ngram4,3,24,3600,86400,5990,122479200.0,0.246948,1492
libpng,naive_ngram4,4,24,3600,86400,5990,119664000.0,0.241272,1466
libpng,naive_ngram4,5,24,3600,86400,5990,118557000.0,0.23904,1445
libpng,naive_ngram4,6,24,3600,86400,5990,121042800.0,0.244052,1482
libpng,naive_ngram4,7,24,3600,86400,5990,119790000.0,0.241526,1458
libpng,naive_ngram4,8,24,3600,86400,5990,119889000.0,0.241725,1458
libpng,naive_ngram4,9,24,3600,86400,5990,122455800.0,0.246901,1518
libpng,naive_ngram4,10,24,3600,86400,5990,115939800.0,0.233763,1436
libpng,mopt,1,24,3600,86400,5990,116155800.0,0.234198,1423
libpng,mopt,2,24,3600,86400,5990,130399200.0,0.262916,1606
libpng,mopt,3,24,3600,86400,5990,119311200.0,0.24056,1468
libpng,mopt,4,24,3600,86400,5990,121987800.0,0.245957,1484
libpng,mopt,5,24,3600,86400,5990,122266800.0,0.24652,1488
libpng,mopt,6,24,3600,86400,5990,123616800.0,0.249241,1501
libpng,mopt,7,24,3600,86400,5990,118144800.0,0.238209,1447
libpng,mopt,8,24,3600,86400,5990,120027600.0,0.242005,1474
libpng,mopt,9,24,3600,86400,5990,122178600.0,0.246342,1485
libpng,mopt,10,24,3600,86400,5990,120299400.0,0.242553,1465
libpng,minimizer,1,24,3600,86400,5990,118477800.0,0.23888,1444
libpng,minimizer,2,24,3600,86400,5990,115849800.0,0.233581,1421
libpng,minimizer,3,24,3600,86400,5990,120576600.0,0.243112,1466
libpng,minimizer,4,24,3600,86400,5990,121798800.0,0.245576,1480
libpng,minimizer,5,24,3600,86400,5990,116479800.0,0.234852,1427
libpng,minimizer,6,24,3600,86400,5990,114912000.0,0.23169,1419
libpng,minimizer,7,24,3600,86400,5990,116715600.0,0.235327,1439
libpng,minimizer,8,24,3600,86400,5990,120222000.0,0.242397,1466
libpng,minimizer,9,24,3600,86400,5990,120209400.0,0.242371,1473
libpng,minimizer,10,24,3600,86400,5990,122036400.0,0.246055,1482
libpng,fast,1,24,3600,86400,5990,115189200.0,0.232249,1401
libpng,fast,2,24,3600,86400,5990,121964400.0,0.24591,1519
libpng,fast,3,24,3600,86400,5990,120364200.0,0.242683,1466
libpng,fast,4,24,3600,86400,5990,117185400.0,0.236274,1422
libpng,fast,5,24,3600,86400,5990,132798600.0,0.267754,1639
libpng,fast,6,24,3600,86400,5990,121476600.0,0.244926,1488
libpng,fast,7,24,3600,86400,5990,119206800.0,0.24035,1448
libpng,fast,8,24,3600,86400,5990,117066600.0,0.236035,1436
libpng,fast,9,24,3600,86400,5990,118110600.0,0.23814,1444
libpng,fast,10,24,3600,86400,5990,118272600.0,0.238466,1457
libpng,grimoire,1,24,3600,86400,5990,141543000.0,0.285385,1751
libpng,grimoire,2,24,3600,86400,5990,138159000.0,0.278562,1700
libpng,grimoire,3,24,3600,86400,5990,139883400.0,0.282039,1721
libpng,grimoire,4,24,3600,86400,5990,140709600.0,0.283705,1732
libpng,grimoire,5,24,3600,86400,5990,135820800.0,0.273848,1671
libpng,grimoire,6,24,3600,86400,5990,141201000.0,0.284696,1723
libpng,grimoire,7,24,3600,86400,5990,139021200.0,0.280301,1688
libpng,grimoire,8,24,3600,86400,5990,137845800.0,0.277931,1715
libpng,grimoire,9,24,3600,86400,5990,143560800.0,0.289453,1761
libpng,grimoire,10,24,3600,86400,5990,138807000.0,0.279869,1685
libxml2,naive,1,24,3600,86400,62948,665082000.0,0.127604,8685
libxml2,naive,2,24,3600,86400,62948,699154200.0,0.134141,9054
libxml2,naive,3,24,3600,86400,62948,696958200.0,0.133719,9114
libxml2,naive,4,24,3600,86400,62948,668185200.0,0.128199,8508
libxml2,naive,5,24,3600,86400,62948,709576200.0,0.13614,9118
libxml2,naive,6,24,3600,86400,62948,693360000.0,0.133029,9022
libxml2,naive,7,24,3600,86400,62948,699121800.0,0.134135,8994
libxml2,naive,8,24,3600,86400,62948,643717800.0,0.123505,8511
libxml2,naive,9,24,3600,86400,62948,648507600.0,0.124424,8340
libxml2,naive,10,24,3600,86400,62948,669097800.0,0.128374,9129
libxml2,cmplog,1,24,3600,86400,62948,675379800.0,0.129579,9052
libxml2,cmplog,2,24,3600,86400,62948,685634400.0,0.131547,9117
libxml2,cmplog,3,24,3600,86400,62948,685819800.0,0.131582,9295
libxml2,cmplog,4,24,3600,86400,62948,713914200.0,0.136973,9383
libxml2,cmplog,5,24,3600,86400,62948,698970600.0,0.134106,9299
libxml2,cmplog,6,24,3600,86400,62948,717575400.0,0.137675,9416
libxml2,cmplog,7,24,3600,86400,62948,715442400.0,0.137266,9488
libxml2,cmplog,8,24,3600,86400,62948,693234000.0,0.133005,9228
libxml2,cmplog,9,24,3600,86400,62948,712465200.0,0.136695,9360
libxml2,cmplog,10,24,3600,86400,62948,726867000.0,0.139458,9310
libxml2,value_profile,1,24,3600,86400,62948,673813800.0,0.129279,9246
libxml2,value_profile,2,24,3600,86400,62948,721278000.0,0.138385,9658
libxml2,value_profile,3,24,3600,86400,62948,740151000.0,0.142006,9690
libxml2,value_profile,4,24,3600,86400,62948,666480600.0,0.127872,9344
libxml2,value_profile,5,24,3600,86400,62948,752020200.0,0.144284,9908
libxml2,value_profile,6,24,3600,86400,62948,729455400.0,0.139954,9869
libxml2,value_profile,7,24,3600,86400,62948,714263400.0,0.13704,9776
libxml2,value_profile,8,24,3600,86400,62948,747658800.0,0.143447,9973
libxml2,value_profile,9,24,3600,86400,62948,740728800.0,0.142117,9783
libxml2,value_profile,10,24,3600,86400,62948,719614800.0,0.138066,9494
libxml2,value_profile_cmplog,1,24,3600,86400,62948,745934400.0,0.143116,10006
libxml2,value_profile_cmplog,2,24,3600,86400,62948,737868600.0,0.141569,10103
libxml2,value_profile_cmplog,3,24,3600,86400,62948,728641800.0,0.139798,9963
libxml2,value_profile_cmplog,4,24,3600,86400,62948,741150000.0,0.142198,10053
libxml2,value_profile_cmplog,5,24,3600,86400,62948,721974600.0,0.138519,9986
libxml2,value_profile_cmplog,6,24,3600,86400,62948,766690200.0,0.147098,10190
