target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
sqlite3,cmplog,9,24,3600,86400,28832,326977200.0,0.136966,5434
sqlite3,cmplog,10,24,3600,86400,28832,321606000.0,0.134716,5359
sqlite3,value_profile,1,24,3600,86400,28832,338169600.0,0.141654,5520
sqlite3,value_profile,2,24,3600,86400,28832,428673600.0,0.179565,5444
sqlite3,value_profile,3,24,3600,86400,28832,438044400.0,0.18349,5559
sqlite3,value_profile,4,24,3600,86400,28832,399594600.0,0.167384,5479
sqlite3,value_profile,5,24,3600,86400,28832,406056600.0,0.170091,5472
sqlite3,value_profile,6,24,3600,86400,28832,436240800.0,0.182735,5543
sqlite3,value_profile,7,24,3600,86400,28832,431056800.0,0.180563,5465
sqlite3,value_profile,8,24,3600,86400,28832,359803800.0,0.150716,5607
sqlite3,value_profile,9,24,3600,86400,28832,427811400.0,0.179204,5484
sqlite3,value_profile,10,24,3600,86400,28832,395551800.0,0.165691,5523
sqlite3,value_profile_cmplog,1,24,3600,86400,28832,399981600.0,0.167546,5542
sqlite3,value_profile_cmplog,2,24,3600,86400,28832,378678600.0,0.158623,5591
sqlite3,value_profile_cmplog,3,24,3600,86400,28832,414009000.0,0.173422,5553
sqlite3,value_profile_cmplog,4,24,3600,86400,28832,392612400.0,0.164459,5578
sqlite3,value_profile_cmplog,5,24,3600,86400,28832,419916600.0,0.175897,5548
sqlite3,value_profile_cmplog,6,24,3600,86400,28832,357667200.0,0.149821,5565
sqlite3,value_profile_cmplog,7,24,3600,86400,28832,372132000.0,0.155881,5548
sqlite3,value_profile_cmplog,8,24,3600,86400,28832,413919000.0,0.173384,5693
sqlite3,value_profile_cmplog,9,24,3600,86400,28832,376419600.0,0.157677,5567
sqlite3,value_profile_cmplog,10,24,3600,86400,28832,302875200.0,0.12687,4443
sqlite3,naive_ctx,1,24,3600,86400,28832,392241600.0,0.164304,5208
sqlite3,naive_ctx,2,24,3600,86400,28832,362757600.0,0.151954,5400
sqlite3,naive_ctx,3,24,3600,86400,28832,320859000.0,0.134403,5127
sqlite3,naive_ctx,4,24,3600,86400,28832,374108400.0,0.156708,5054
sqlite3,naive_ctx,5,24,3600,86400,28832,306579600.0,0.128422,5513
sqlite3,naive_ctx,6,24,3600,86400,28832,376021800.0,0.15751,5444
sqlite3,naive_ctx,7,24,3600,86400,28832,345565800.0,0.144752,5270
sqlite3,naive_ctx,8,24,3600,86400,28832,366177600.0,0.153386,5409
sqlite3,naive_ctx,9,24,3600,86400,28832,390679200.0,0.16365,5449
sqlite3,naive_ctx,10,24,3600,86400,28832,206640000.0,0.086558,5056
sqlite3,naive_ngram4,1,24,3600,86400,28832,234763200.0,0.098339,3016
sqlite3,naive_ngram4,2,24,3600,86400,28832,376887600.0,0.157873,5269
sqlite3,naive_ngram4,3,24,3600,86400,28832,325944000.0,0.136533,4759
sqlite3,naive_ngram4,4,24,3600,86400,28832,354706200.0,0.148581,5160
sqlite3,naive_ngram4,5,24,3600,86400,28832,377787600.0,0.15825,4769
sqlite3,naive_ngram4,6,24,3600,86400,28832,300126600.0,0.125719,5299
sqlite3,naive_ngram4,7,24,3600,86400,28832,331327800.0,0.138788,4837
sqlite3,naive_ngram4,8,24,3600,86400,28832,318693600.0,0.133496,5360
sqlite3,naive_ngram4,9,24,3600,86400,28832,345981600.0,0.144927,5361
sqlite3,naive_ngram4,10,24,3600,86400,28832,423453600.0,0.177378,5347
sqlite3,mopt,1,24,3600,86400,28832,285363000.0,0.119534,4767
sqlite3,mopt,2,24,3600,86400,28832,370002600.0,0.154989,4841
sqlite3,mopt,3,24,3600,86400,28832,194842800.0,0.081617,2820
