fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
aflplusplus,bloaty,709,3,0,3,10
aflplusplus,bloaty,727,1,1,2,10
aflplusplus,bloaty,745,1,0,1,10
honggfuzz,bloaty,416,9,1,10,10
honggfuzz,bloaty,1,10,0,10,10
honggfuzz,bloaty,2,9,1,10,10
honggfuzz,bloaty,3,9,1,10,10
honggfuzz,bloaty,1387,10,0,10,10
honggfuzz,bloaty,1388,10,0,10,10
honggfuzz,bloaty,4,10,0,10,10
honggfuzz,bloaty,5,10,0,10,10
honggfuzz,bloaty,1389,10,0,10,10
honggfuzz,bloaty,6,10,0,10,10
honggfuzz,bloaty,7,10,0,10,10
honggfuzz,bloaty,1177,10,0,10,10
honggfuzz,bloaty,1390,10,0,10,10
honggfuzz,bloaty,8,10,0,10,10
honggfuzz,bloaty,1735,1,9,10,10
honggfuzz,bloaty,1737,1,9,10,10
honggfuzz,bloaty,9,8,2,10,10
honggfuzz,bloaty,1179,10,0,10,10
honggfuzz,bloaty,1392,10,0,10,10
honggfuzz,bloaty,1393,10,0,10,10
honggfuzz,bloaty,10,5,5,10,10
honggfuzz,bloaty,1395,10,0,10,10
honggfuzz,bloaty,11,10,0,10,10
honggfuzz,bloaty,12,10,0,10,10
honggfuzz,bloaty,13,7,3,10,10
honggfuzz,bloaty,1253,10,0,10,10
honggfuzz,bloaty,1254,10,0,10,10
honggfuzz,bloaty,26,2,8,10,10
honggfuzz,bloaty,27,2,8,10,10
honggfuzz,bloaty,1182,10,0,10,10
honggfuzz,bloaty,1401,10,0,10,10
honggfuzz,bloaty,28,7,3,10,10
honggfuzz,bloaty,1402,6,4,10,10
honggfuzz,bloaty,29,4,3,7,10
honggfuzz,bloaty,1759,5,2,7,10
honggfuzz,bloaty,308,8,2,10,10
honggfuzz,bloaty,30,5,5,10,10
honggfuzz,bloaty,1406,8,2,10,10
honggfuzz,bloaty,1407,7,1,8,10
honggfuzz,bloaty,1763,6,2,8,10
honggfuzz,bloaty,1321,7,2,9,10
honggfuzz,bloaty,31,0,9,9,10
honggfuzz,bloaty,309,7,2,9,10
honggfuzz,bloaty,310,10,0,10,10
